	Eternal Living Fragrance,万古生香,ばんこしょうかおり
"Sekiran'un,",入道雲、,にゅうどうぐも
"Sekitateru You na, Fence-goshi no Gradation",急き立てるような、フェンス越しのグラデーション,せきたてるようなふぇんすごしのぐらでーしょん
"Sekitateru You na, Fence-goshi no Gradation",急き立てるような、フェンス越しのグラデーション,せきたてるようなふぇんすごしのぐらでーしょん
"Sekkakudesukara, Mae o",せっかくですから、前を,せっかくですからまえを
"Sen'otome, Chisato wo Kakeru",戦乙女、千里ヲ駆ケル,せんおとめせんりをかける
"Sennen to Rasen, Chiru Mono wo",阡年と螺旋、散るものを,阡年とらせんちるものを
"Sennen to Rasen, Chiru Mono wo",阡年と螺旋、散るものを,阡年とらせんちるものを
"Shichigatsu, Kageboushi, Aiiro, Rocker",七月、影法師、藍色、ロッカー,しちがつかげぼうしあいいろろっかー
"Shigarami o Koeta Nara, Oborete Shimau",柵を越えたなら、溺れてしまう,しがらみをこえたならおぼれてしまう
"Shigen Sousha no Tame no, Kodoku no Souhou.",四弦奏者のための、孤独の奏法。,よんげんそうしゃのためのこどくのそうほう
"Shiina wa kyou mo,-kyou o mitakunai.",シーナは今日も、鏡を見たくない。,しーなはきょうもかがみをみたくない
"Shikashi Kanojo wa,",しかし彼女は、,しかしかのじょは
"Shin'ai naru, Kimi e",親愛なる、君へ,しんあいなるきみへ
"Shin'ya, Ryuu wa Yume yori Same",真夜、龍ハ夢拠リ醒メ,まよりゅうはゆめよりどころりせいめ
"Shin'ya, Ryuu wa Yume yori Same",真夜、龍ハ夢拠リ醒メ,まよりゅうはゆめよりどころりせいめ
"Shingakki, Mesukousei wa Jisatsu Suru.",新学期、女子高生は自殺する。,しんがっきじょしこうせいはじさつする
"Shinkai no Ao, Hai ni Hae.",塵海の青、灰に映え。,ちりうみのあおはいにはえ
"Shinkai Toshi ""Wizllia""",深海都市ウィザリア,ふかうみとしうぃざりあ
"Shinkai, Hikari, Tabidachi",深海、光、旅立ち,ふかうみひかりたびだち
"Shinkokyu, Wameku, Shinkokyu",深呼吸、喚く、深呼吸,しんこきゅうわめくしんこきゅう
"Shinrikyou, Ma o Harau Sonshi no Uta",真理教、魔を祓う尊師の歌,しんりきょうまをはらうそんしのうた
"Shinritsu, Seimei no Ketsuraku to Fuuin no Kaihou de Semaru Yuuji",震慄、生命の欠落と封印の解放で迫る有事,しん慄せいめいのけつらくとふういんのかいほうでせまるゆうじ
"Shiraketa hibi no kanashimi wa, tada toutou to nagareteku",白けた日々の悲しみは、ただ滔々と流れてく,しらけたひびのかなしみはただとうとうとながれてく
"Shiranai kara, Sawari Tsuzukeru",知らないから、触り続ける,しらないからさわりつづける
"Shiro wa Kuusou, Kuro wa Mousou, Aka wa Ganbou",白は空想黒は妄想赤は願望,しろはくうそうくろはもうそうあかはがんぼう
"Shiro wa Kuusou, Kuro wa Mousou, Aka wa Ganbou",白は空想黒は妄想赤は願望,しろはくうそうくろはもうそうあかはがんぼう
"Shitanamezuri, Himitsu no Gochuisou",舌舐めずり、秘蜜のごちそう,したなめずりひみつのごちそう
"Shoka, Satsui wa Machi wo Hitasu Yamai no You ni",初夏、殺意は街を侵す病の様に,しょかさついはまちをおかすやまいのように
"Shoka, Satsui wa Machi wo Hitasu Yamai no You ni",初夏、殺意は街を浸す病のように,しょかさついはまちをひたすやまいのように
"Shoka, Satsui wa Machi wo Hitasu Yamai no You ni",初夏、殺意は街を浸す病のように,しょかさついはまちをひたすやまいのように
"Shoujo, Utsu ni Arawaru",少女、鬱に現る,しょうじょ鬱にげんる
"Shousetsu ""Natsu to Batsu"" (Ge)",小説 夏と罰 (下),しょうせつなつとばっした
"Shousetsu ""Natsu to Batsu"" (Ge)",小説 夏と罰 (下),しょうせつなつとばっした
"Shousetsu ""Natsu to Batsu"" (Jou)",小説 夏と罰 (上),しょうせつなつとばっうえ
"Shousetsu ""Natsu to Batsu"" (Jou)",小説 夏と罰 (上),しょうせつなつとばっうえ
"Shousetsu ""Natsu to Batsu"" (Kami)",小説 夏と罰 (上),しょうせつなつとばっうえ
"Shousetsu ""Natsu to Batsu"" (Shimo)",小説 夏と罰 (下),しょうせつなつとばっした
"Shouten, Sadamarazu",焦点、定マラズ,しょうてんていまらず
"Shu yo, Ringo no Voice no Yorokobi yo",主よ、りんごのボイスの喜びよ,おもよりんごのぼいすのよろこびよ
"Shuuberuto ""Ave Maria"" ('Eren no Uta' dai-3-ban)",シューベルト「アヴェ・マリア」(『エレンの歌』第3番),しゅーべるとあゔぇまりあえれんのうただいさんばん
"Shuuchakuten, Arui wa",終着点、或いは,しゅうちゃくてんあるいは
"Sincerely, Anonymous",某〇×△□より,ぼうれいかけるより
"Snow, Moon, Wind and Flowers",雪月風花,せつげつふうか
"Soda, Crepe ya Ikou yo!",そだ、クレープ屋いこーよ!,そだくれーぷやいこーよ
"Soda, Crepe ya Ikou yo!",そだ、クレープ屋いこーよ!,そだくれーぷやいこーよ
"Solitude, even in dreams",一人ぼっち、夢さえも。,ひとりぼっちゆめさえも
"Solitude, even in dreams",一人ぼっち、夢さえも。,ひとりぼっちゆめさえも
"Some Time Ago, In a Summer",いつか、夏の,いつかなつの
"Someday, Tell Me The Rest",いつか、その続きを,いつかそのつづきを
"Somitsu na Hi'iaka to Namaka, Soshite Dysnomia ",疎密なヒイアカとナマカ、そしてディスノミア,そみつなひいあかとなまかそしてでぃすのみあ
"Songwriter, Sono Uta de",ソングライター、その歌で,そんぐらいたーそのかで
"Sono Botan, Adeyaka Nareba",その牡丹、艶やかなれば,そのぼたんつややかなれば
"Sono Botan, Adeyaka Nareba",その牡丹、艶やかなれば,そのぼたんつややかなれば
"Sono Hi, Boku wa Tokai ni Ita",その日、僕は都会に居た,そのひぼくはとかいにいた
"Sono Negi o Sutero!! Zannen da ga, Sore wa Seibutsuheiki da!!",そのネギを捨てろ!!残念だが、それは細菌兵器だ!!,そのねぎをすてろざんねんだがそれはさいきんへいきだ
"Sono Saki no, Michi e.",その先の、道へ。,そのさきのみちへ
"Sono Setsuna, Hime wa Jikuu wo Koeru",その刹那、姫は時空を超える,そのせつなひめはじくうをこえる
"Sono Shoudo, 4-Percent",その衝動、4パーセント,そのしょうどうよんぱーせんと
"Sono Shoujo, Stratocaster ni tuki",その少女、ストラトキャスターにつき,そのしょうじょすとらときゃすたーにつき
"Sono Yoru, Kaze wa Yake ni Tsuyokatta.","その夜,風はやけに強かった。",そのよるかぜはやけにつよかった
"Sono, Melon to Oboshiki",その、メロンと思しき,そのめろんとおぼしき
"Sono, Melon to Oboshiki",その、メロンと思しき,そのめろんとおぼしき
"Sore demo, hikari wa.",それでも、光は。,それでもひかりは
"Sore demo, sekai wa boku wo chuushin ni mawatte iru.",それでも、世界は僕を中心に回っている。,それでもせかいはぼくをちゅうしんにまわっている
"Sore wa Kitto, Shiawase na Monogatari",それはきっと、幸せな物語。,それはきっとしあわせなものがたり
"Sore wa zenzen wakannai, Imi ga dentatsu shite konai.",それ全然わかんない、意味が伝達してこない。,それぜんぜんわかんないいみがでんたつしてこない
"Sore wa, Kioku wo Oou Kanzen na Souon de, Nanimono ni mo Utagoe wo Ubawaseru koto naku, Kotaba no Issai wo Oto no Naka kara Eru mono. Watashi wa Watashi to ""Seishinteki Hidarikiki ki"" no Tame ni, Kanzen na Sekai wo Tsukirou.",それは、記憶を覆う完全な騒音で、何者にも歌声を奪わせることなく、言葉の一切を音の中から得るもの。私は私と「精神的左利き」の為に、完全な世界を作ろう。,それはきおくをおおうかんぜんなそうおんでなにものにもうたごえをうばわせることなくことばのいっさいをおとのなかからえるものわたしはわたしとせいしんてきひだりききのためにかんぜんなせかいをつくろう
"Sore wa, Mahiru no Suisei",それは、真昼の彗星,それはまひるのすいせい
"Sore wa, Natsu no Mahou ga Kaita",それは、夏の魔法が描いた,それはなつのまほうがえがいた
"Soredemo watashi wa, 3-do ""anata o shiranai"" to iu.",それでも私は、3度「あなたを知らない」と言う。,それでもわたしはさんどあなたをしらないという
"Soredemo watashi wa, 3-do ""anata o shiranai"" to iu.",それでも私は、3度「あなたを知らない」と言う。,それでもわたしはさんどあなたをしらないという
"Soredemo, Boku wa, Kyou mo.",それでも、僕は、今日も。,それでもぼくはきょうも
"Soshaku. Soshite, enge.",咀嚼。そして、嚥下。,そしゃくそしてえんか
"Soshite ""Chikai"" o Kawashite",そして「誓い」を交わして,そしてちかいをかわして
"Soshite ""Chikai"" o Kawashite",そして「誓い」を交わして,そしてちかいをかわして
"Soshite, boku wa kemono ni natta",そして、僕は獣になった,そしてぼくはししになった
"Soshite, Bokura wa Dance wo",そして、僕らはダンスを,そしてぼくらはだんすを
"Soshite, Umi no Mukou e Kiete Itta",そして、海の向こうへ消えていった,そしてうみのむこうへきえていった
"Soshite, Umi no Mukou e Kiete Itta",そして、海の向こうへ消えていった,そしてうみのむこうへきえていった
"Sou da, Tekubi o Kirou",そうだ、手首を切ろう,そうだてくびをきろう
"Speed, Uchuu",スピード、宇宙,すぴーどうちゅう
"Spica, Mitsuketa",スピカ、見つけた,すぴかみつけた
"Stalker no Uta ~Sanchoume, Anata no Ie~",ストーカーの唄 ー3丁目、貴方の家ー,すとーかーのうたーさんちょうめあなたのいえー
"Strange Cloud, Strange Town",見知らぬ雲見知らぬ街,みしらぬくもみしらぬまち
"Strange Cloud, Strange Town",見知らぬ雲見知らぬ街,みしらぬくもみしらぬまち
"Su-suki, Daaisuki!",すすき、だーい好き!,すすきだーいすき
"Subete no Tezuka Sakuhin he Keii wo. Hatsune Miku yori, rap ni Nosete",全ての手塚作品へ敬意を。初音ミクより、ラップに乗せて,すべてのてづかさくひんへけいいをはつねみくよりらっぷにのせて
"Sugi Yuku Kisetsu, Akishigure",過ぎ往く季節、秋時雨,すぎゆくきせつあきときう
"suichuu yori, sekai e",水中より、世界へ,すいちゅうよりせかいへ
"Sukui no Koe, Realist no Moushuu",救いの声、リアリストの妄執,すくいのこえりありすとのもうしゅう
"Sumi wo Miru, Soko ni, Nani mo Nai no ni.",隅を見る、其処に、何も無いのに。,すみをみる其処になにもないのに
"Summer Squall wa, Gozen Yoji ni Furu.",サマースコールは、午前4時に降る。,さまーすこーるはごぜんよじにふる
"Susumi Tsudzukeru Jikan to Kawari Tsudzukeru Sekai, Machi, Kokoro no Uchi de Yuiitsu Kawaranai Kono Kuuki ni Kokyou to Nadzuketa",進み続ける時間と変わり続ける世界、町、心の中で唯一変わらないこの空気に故郷と名付けた,すすみつづけるじかんとかわりつづけるせかいまちこころのなかでゆいいつかわらないこのくうきにこきょうとなづけた
"Sweet bite,Vampire girl",アマガミ!! 吸血少女,あまがみきゅうけつしょうじょ
"System Onsei-shuu ""Kidou""",システム音声集「起動」,しすてむおんせいしゅうきどう
"Tabun, Nessie",多分、ネッシー,たぶんねっしー
"Tabun, Netsea",多分、ネッシー,たぶんねっしー
"Tada, Ima wa Kimi ga Suki",ただ、今は君が好き,ただいまはきみがすき
"Tada, Kimi wa Naiteita",ただ、君は泣いていた,ただきみはないていた
"Tanjoubi, Peperoncino ni Yasashiku Sareru",誕生日、ペペロンチーノにやさしくされる,たんじょうびぺぺろんちーのにやさしくされる
"Tanjoubi, Peperoncino ni Yasashiku Sareru",誕生日、ペペロンチーノにやさしくされる,たんじょうびぺぺろんちーのにやさしくされる
"Tanjoubi, Peperoncino ni Yasashiku Sareru",誕生日、ペペロンチーノにやさしくされる,たんじょうびぺぺろんちーのにやさしくされる
"Tasogaretoki, Sora wa Imada Aoku",黄昏時、空は未だ青く,たそがれじそらはいまだあおく
"Tatoeba, Ima Koko ni Okareta Hana ni",例えば、今此処に置かれた花に,たとえばこんここにおかれたはなに
"Tea & Milk, You & Me",紅茶とミルク、貴方と私,こうちゃとみるくあなたとわたし
"Tea & Milk, You & Me",紅茶とミルク、貴方と私,こうちゃとみるくあなたとわたし
"Teddy, Hanashi wo Kiite",テディ、話を聞いて,てでぃはなしをきいて
"Television Shopping ""Sore tte☆Mazai?!""",テレビショッピング『それって☆魔剤!?』,てれびしょっぴんぐそれってまざい
"Thalys Oh, Holy Feast",タリス「おお、聖なる饗宴よ」,たりすおおせいなるきょうえんよ
"That wave, I will return it",その波、寄せては返す,そのなみよせてはかえす
"The bird of a fiction, and the fish of a fancy",鳥は架空と魚は空想,とりはかくうとさかなはくうそう
"The Doll, Alice",人形アリス,にんぎょうありす
"The Festival Band, With The Colours of The Wind",祭り囃子は風の色と,まつりはやしはかぜのいろと
"The Song of Hope, Coming Back to a Child (Karaoke version)",希望の歌+ こどもにかえる^(カラオケバージョン),きぼうのうたこどもにかえるからおけばーじょん
"The Song of Hope, Coming Back to a Child",希望の歌+ こどもにかえる^,きぼうのうたこどもにかえる
"The Wilderness of Solitude, Walking Mike",孤独の荒野、歩くマイク,こどくのあらのあるくまいく
"Those who Leave, Those who Remain.",去る者、残る者,さるもののこるもの
"Through a Glass, Darkly",鏡の向こうの私,かがみのむこうのわたし
"Tight ni Iku ze, Onna no Ko",タイトにいくぜ、女の子,たいとにいくぜおんなのこ
"Toaru Yogensha no, SCHICKSAL",とある預言者の、運命,とあるよげんしゃのうんめい
"Toaru, Konsen Shita Alice no Shokika",とある、混線したアリスの初期化,とあるこんせんしたありすのしょきか
"Tokyo Yuki ""Sakura""",東京行き「さくら」,とうきょういきさくら
"Tora yo, Concrete no Kouya o Kakero!",虎よ、コンクリートの荒野を駆けろ!,とらよこんくりーとのあらのをかけろ
"Totsuzen Desu ga, Idol Hajimemashita",突然ですが、アイドル始めました,とつぜんですがあいどるはじめました
"Tranquilize, Yasuraka na Nemuri o",トランキライズ、安らかな眠りを,とらんきらいずやすらかなねむりを
"Tsugi no Ichinen, Mukae Mashou ka",次の一年、迎えましょうか,つぎのかずとしむかえましょうか
"Tsugi, Shinagawa Seaside",次、品川シーサイド,つぎしながわしーさいど
"Tsuimin, Damin",睡眠、惰眠,すいみんだみん
"Tsuina-chan, Te Furuetemasu Yo?",ついなちゃん、手震えてますよ?,ついなちゃんてふるえてますよ
"Tsuki no In wa, Kimi no Maboroshi",月の陰は、君の幻,つきのかげはきみのまぼろし
"Tsuki no Kawa, Yume no Kurenai",月の河 夢の紅,つきのかわゆめのべに
"Tsumishiki Miku-san de ""Manatsu no Letter Rainbow""",つみ式ミクさんで『真夏のレターレインボー』,つみしきみくさんでまなつのれたーれいんぼー
"Tsuyoku, Motto Chikara o",つよく、もっと力を,つよくもっとちからを
"Ubugoe Ageta, Sonna Ki ga Shita",産声上げた、そんな気がした,うぶごえあげたそんなきがした
"Ubugoe, Deoxyribon",産声、デオキシリボン,うぶごえでおきしりぼん
"Umarete 14 Nen Me, Mujun Shita Genjitsu de Shitta Kankaku",生まれて14年目、矛盾した現実で知った感覚,うまれてじゅうよんねんめむじゅんしたげんじつでしったかんかく
"Umiiro no Kaze, Hiiro no Oka",海色の風、緋色の丘,うみしょくのかぜひいろのおか
"Uramu yo, Late Summer",怨むよ、レイトサマー,うらむよれいとさまー
"Ureshii, Tanoshii, Shiawase Carnival.",嬉しい、楽しい、幸せカーニバル。,うれしいたのしいしあわせかーにばる
"Ushinau, Synapse",失う、シナプス,うしなうしなぷす
"Utakata, Koufuku no Zanzou",泡沫、幸福の残像,ほうまつこうふくのざんぞう
"Utau yo, Happy Song",歌うよ、ハッピーソング,うたうよはっぴーそんぐ
"Uten, Kasa o Sasu Shoujo",雨天、傘を差す少女,うてんかさをさすしょうじょ
"Verdi ""Requiem"" - ""Ga wo Tokihanachi Tamae""",ヴェルディ『レクイエム』ー「我を解き放ちたまえ」,ゔぇるでぃれくいえむーがをときはなちたまえ
"Voiceroid! ""Hatsune""",ぼいすろいど!『初音』,ぼいすろいどはつね
"Ware Omou, Yue ni Ware Ari",我在り、故に我想う,がありゆえにがおもう
"Ware wa Koko ni, Nanji wa Kanata ni",我は此処に、汝は彼方に,がはここになんじはかなたに
"Warutsu dai 1-ban "" """,ワルツ第1番「 」,わるつだいいちばん
"Wasuremono, Nakushimono, Motaimono",忘れ物・失くし物・抬い物,わすれものしつくしぶつ抬いぶつ
"Watakushijishin, tsumari, sono akaifusen",私自身、つまり、その赤い風船,わたしじしんつまりそのあかいふうせん
"Watashi no Tsubasa wa, Kimi no Kanata e",私の翼は、君の彼方へ,わたしのつばさはきみのかなたへ
"Watashi no Tsubasa wa, Kimi no Kanata e",私の翼は、君の彼方へ,わたしのつばさはきみのかなたへ
"Watashi wa Koko de, Matte Iru",私はここで、待っている,わたしはここでまっている
"Watashi wa, Earphone o Nakushita",私は、イヤフォンをなくした,わたしはいやふぉんをなくした
"Watashi, Idol Sengen",私、アイドル宣言,わたしあいどるせんげん
"Watashi, Idol Sengen",私、アイドル宣言,わたしあいどるせんげん
"Watashinojinsei, haratai-ra-san ni zenbu",私の人生、はらたいらさんに全部,わたしのじんせいはらたいらさんにぜんぶ
"We Request, Rain",乞うは、雨,こうはあめ
"Wei, Baba","喂,爸爸",喂爸爸
"When I woke up in the morning, the alarm clock was ringing",朝目が覚めたら目覚ましが鳴っていました,ちょうめがさめたらめざましがなっていました
"Wish, come true",願い、叶うなら,ねがいかなうなら
"World and I, and",世界と僕と,せかいとぼくと
"Yamanai Ame to, Kanashimi to,,,","止マナイ雨ト,悲シミト,,,",とめまないうとかなしみと
"Yamato-nadeshiko, Sakihokore",大和撫子、咲き誇れ,やまとなでしこさきほこれ
"Yasashiku Sotto ""Ii ne"" o Oshite",やさしくそっと「いいね」を押して,やさしくそっといいねをおして
"Yoake Zen, Shounen Suisei",夜明け前、少年彗星,よあけまえしょうねんすいせい
"Yonin no Hatsune Miku Dainiwa ""Inishie no Shima""",四人の初音ミク 第二話「古の島」,よんにんのはつねみくだいにわいにしえのしま
"Yoru no Jingle, Ouchi de Chicken",夜のジングル、おうちでチキン,よるのじんぐるおうちでちきん
"Yoru wa Mijikashi, Yume wa Kikagaku",夜は短し、夢は幾何学,よるはみじかしゆめはきかがく
"Yoruiro, Hitohira",夜色、ひとひら,やしょくひとひら
"You, Device",君はデバイス,きみはでばいす
"You, My Raison d'etre",キミと僕の存在理由,きみとぼくのそんざいりゆう
"You, My Raison d'etre",キミと僕の存在理由,きみとぼくのそんざいりゆう
"You'll see the sign, and realize your sin",永久に続く五線譜,えいきゅうにつづくごせんふ
"You're a ""smart"" guy",你真的好弔,你真てきこうちょう
"You're Happy, So I'm Happy",你快樂所以我快樂,你快らくゆえんがかいらく
"You're Happy, So I'm Happy",你快樂所以我快樂,你快らくゆえんがかいらく
"Youkoso, Boku no Machi e.",ようこそ、僕の町へ。,ようこそぼくのまちへ
"Youkoso, Yukari no Machi e",ようこそ、ゆかり街へ,ようこそゆかりがいへ
"Young, Alive, in Love",恋とマシンガン,こいとましんがん
"Yuàn tiānxià yǒuqíngrén zhōng chéng xiōngmèi, kuài lái shāo sǐ nà duì qíngrén, qíng rén jié guān wǒ niǎo shì?","願天下有情人終成兄妹,快來燒死那對情人,情人節關我鳥事?",ねがいてんかうじょうじんおわりなるきょうだいかいらい燒死だ對情じんじょうにんぶしせきがとりごと
"Yubi no Sukima kara Koboreochite Yuku Koufukutachi e Tsugu,",指の隙間から零れ堕ちてゆく幸福たちへ告ぐ、,ゆびのすきまからこぼれおちてゆくこうふくたちへつぐ
"Yuiitsu, Ai no Uta",唯一、愛ノ詠,ゆいいつあいのえい
"Yuki neko za iki, shukkou zenya. ",雪猫座行き、出航前夜。,ゆきねこざいきしゅっこうぜんや
"Yuki no You ni Tsumoru Dake, Sonna Ai da.",雪の様に積もるだけ、そんな愛だ。,ゆきのようにつもるだけそんなあいだ
"Yuki yo, Uta o.",雪よ、歌を。,ゆきようたを
"Yukidoke, Collage",雪どけ、コラージュ,ゆきどけこらーじゅ
"Yukkuri to, Yukkuri to, Boku wa Shizuka ni Kowareteku.",ゆっくりと、ゆっくりと、僕は静かに壊れてく。,ゆっくりとゆっくりとぼくはしずかにこわれてく
"Yume no Kioku, Utsutsu no Yume",夢の記憶、現の夢,ゆめのきおくげんのゆめ
"Yume no Sekai, Gin no Mon o Koete",夢の世界、銀の門を超えて,ゆめのせかいぎんのもんをこえて
"Yume o Egaita,",夢を描いた、,ゆめをえがいた
"Yume, Sono Saki e ~Kizutsuita Tsubasa wo Iyashite~",夢、その先へ ー傷ついた翼を癒してー,ゆめそのさきへーきずついたつばさをいやしてー
"Yuuga ni Sakase, Sumizome no Sakura",幽雅に咲かせ、墨染の桜,かそけみやびにさかせすみぞめのさくら
"Yuuga ni Sakase, Sumizome no Sakura",幽雅に咲かせ、墨染の桜,かそけみやびにさかせすみぞめのさくら
"Yuutai ni Nari, Fuwatte Iru",幽体に為り、ふわっている,かそけたいになりふわっている
"Zannen na Kimi, Aishi no Anata",残念なキミ、愛しのアナタ,ざんねんなきみあいしのあなた
"Zansho, Seiten no Aki wa Tooi",残暑、晴天の秋は遠い,ざんしょせいてんのあきはとおい
"Zettai ni, Naite wa Ikenai",絶対に、泣いてはいけない,ぜったいにないてはいけない
"Zoku, Lolita Fashion",俗、ロリータファッション,ぞくろりーたふぁっしょん
(;`・ω・)I'll Cook Up Some Fried Rice!,(;`・ω・)チャーハン作るよ!,おめがちゃーはんつくるよ
(Dis)pleasure,(不)愉快感,ふゆかいかん
(Hitokui) Alice to Usagi-san,(人食い)アリスとウサギさん,ひとぐいありすとうさぎさん
(Hitokui) Alice to Usagi-san,(人食い)アリスとウサギさん,ひとぐいありすとうさぎさん
(Ringo no) Hana wa Saku,(りんごの)花は咲く,りんごのはなはさく
(Wisdom),(Σοφια),しぐまおみくろんふぁいいおたあるふぁ
(ω)-chan no Teema,(ω)ちゃんのテーマ,かおもじちゃんのてーま
[Destination] St Xevs Comm Tower,ゼウス通信塔前,ぜうすつうしんとうまえ
[Mite ne Megurine Luka-tan],【観てね巡音ルカ誕】,みてねめぐりねるか誕
「-Egao Summit-」,「-笑顔サミット-」,えがおさみっと
【Daiichiji】Virus Kosen_Hyochaku-Hen,【第一次】ウィルス抗戦_漂着編,だいいちじうぃるすこうせんひょうちゃくへん
【Daiichiji】Virus Kosen_Kyoshuu-Hen,【第一次】ウィルス抗戦_強襲編,だいいちじうぃるすこうせんきょうしゅうへん
【Daiichiji】Virus Kosen_Saiki-Hen,【第一次】ウィルス抗戦_再起編,だいいちじうぃるすこうせんさいきへん
*Kimi no Toumei*,*君の透明*,くんのとうめい
\(・ω・\)Sanchi!(/・ω・)/Pinch!,\(・ω・\)産地!(/・ω・)/ピンチ!,おめがさんちおめがぴんち
†Shinshoku Haematophilia†,†浸蝕ヘマトフィリア†,しんしょくへまとふぃりあ
`Nendou`Michizure`Aitsu Replica,`念動`道連れ`あいつレプリカ,ねんどうみちづれあいつれぷりか
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Jinsei Game↓,↑人生ゲーム↓,じんせいげーむ
↑Kyuujoushou Girl↑,↑急上昇ガール↑,きゅうじょうしょうがーる
+-Senbou shitto,+ー羨望嫉妬,ーせんぼうしっと
×shiau Futari wa Waltz wo,×し合う二人はワルツを,かけるしあうふたりはわるつを
×shiau Futari wa Waltz wo,×し合う二人はワルツを,かけるしあうふたりはわるつを
~Ai Yo Kienaide,ー愛よ消えないで,ーあいよきえないで
~Ame~,ー雨ー,ーうー
~Gekkou~,ー月光ー,ーげっこうー
~GO THE WORLD~,走向世界 ,はしこうせかい
~Hana Ichirin~,ー華一輪ー,ーはないちりんー
~Hatsukoi~,ー初恋ー,ーはつこいー
~Kioku no Kakera~,ー記憶の欠片ー,ーきおくのかけらー
~Michi~,ー道ー,ーどうー
~Night~,~夜~,よる
~Tanpopo~,ー蒲公英ー,ーほこうえいー
~Uta~,ー唄ー,ーうたー
◆ Miku-san ni Megane o Tsukutte Sashiageru,◆ミクさんにメガネを作ってさしあげる,みくさんにめがねをつくってさしあげる
○○ wa Jushinki Nandesu,○○は受信機なんです,はじゅしんきなんです
○○ wa Jushinki Nandesu,○○は受信機なんです,はじゅしんきなんです
☂Ame Koi☂,☂雨恋☂,かさあまごいかさ
★ Kanojo wa Otokonoko ★,★彼女は男の娘★,かのじょはおとこのむすめ
☆ Ashita e Mirai e ☆,☆明日へ未来へ☆,あしたへみらいへ
☆ Koi no Summer Beach☆,☆恋のサマービーチ☆,こいのさまーびーち
☆Onii-chan to Issho☆,☆お兄ちゃんと一緒☆,おにいちゃんといっしょ
☆Ren'ai Beam☆,☆恋愛ビーム☆,れんあいびーむ
☆Una wa 11-sai☆,☆ウナは11歳☆,うなはじゅういっさい
☆wa Mieru kana?,☆は見えるかな?,はみえるかな
♪ Monochrome Sekai,♪ モノクローム世界,ものくろーむせかい
♰Tousatsu Collection 2♰,♰盗撮これくしょん2♰,とうさつこれくしょん
ー╋ Seiheki no Hitomi ╋ー,ー╋ 青碧の瞳 ╋ー,ーあおあおいのひとみー
ー╋ Seiheki no Hitomi ╋ー,ー╋ 青碧の瞳 ╋ー,ーあおあおいのひとみー
ー╋ Seiheki no Hitomi ╋ー,ー╋ 青碧の瞳 ╋ー,ーあおあおいのひとみー
ーeternal placeー,いつか見た世界,いつかみたせかい
ーRasenー,ー螺旋ー,ーらせんー
ーSilkroad Musouー,ーシルクロード夢想ー,ーしるくろーどむそうー
ーTsubasaー,ー翼ー,ーつばさー
0-kyori Symphonia,0距離シンフォニア,きょりしんふぉにあ
0.618,零点六幺八,れいてんろく幺八
0214 Hankō-ki,0214反抗期,はんこうき
0831 - Kimi ga Utatta Ano Hi Kara -,0831 -君が歌ったあの日から- ,くんがうたったあのひから
1 4-Sai-sei Sajou Kon'nou,14歳性砂状混脳,じゅうよんさいせいすなじょう混脳
1 Candela no Kotoba O,1カンデラの言葉を,かんでらのことばを
1 Goutou,1号棟,いちごうとう
1 Page Saki no Mirai,1ページ先の未来,ぺーじさきのみらい
1-Funkan no Etranger,1分間のエトランゼ,いっぷんかんのえとらんぜ
1-gram no Koufuku,1グラムの幸福,いちぐらむのしあわせ
1-nen,1年,いちねん
1-Nichi 48-Jikan,1日48時間,ついたちよんじゅうはちじかん
1/3 no Junjou na Kanjou,1/3の純情な感情,さんぶんのいちのじゅんじょうなかんじょう
1/6 no Yume Tabibito 2002,1/6の夢旅人2002,ろくぶんのいちのゆめたびびとにせんに
1/6 no Yume Tabibito 2002,1/6の夢旅人2002,ろくぶんのいちのゆめたびびとにせんに
1/6 no Yume Tabibito 2002,1/6の夢旅人2002,ろくぶんのいちのゆめたびびとにせんに
1/6 no Yume Tabibito 2002,1/6の夢旅人2002,ろくぶんのいちのゆめたびびとにせんに
10 Gatsu 23 Nichi no Kimitachi e,10月23日の君たちへ,じゅうがつにじゅうさんにちのきみたちへ
10 Nen go no Natsu no Owari ni,10年後の夏の終わりに  ,じゅうねんごのなつのおわりに
10 Nen go no Natsu no Owari ni,10年後の夏の終わりに  ,じゅうねんごのなつのおわりに
10 Years Ago...,10年前は・・・,じゅうねんまえは
10 years dream,10年の夢,じゅうねんのゆめ
10-gatsu mo Owari,10月も終わり,じゅうがつもおわり
10-gatsu mo Owari,10月も終わり,じゅうがつもおわり
10-gatsu no Ame,10月の雨,じゅうがつのあめ
100 Fox Ryouran,百狐繚乱,ひゃくきつねりょうらん
100 letters,100枚の手紙,ひゃくまいのてがみ
