Kokoro,ココロ
,Ｃｏｎｎｉｅ．
Sakurairo Taimu Kapuseru,桜色タイムカプセル
Heisei Sayonara Baibai,ヘイセイサヨナラバイバイ
Ren'ai Shikkan,恋愛疾患
,ネガポジ＊コンティニューズ
Burenai Ai de,ぶれないアイで
Mottainai to Rando,もったいないとらんど
Hajimete no Chuu,はじめてのチュウ
Soba ni Ite,そばにいて
,ALONE
Bungakusha no Koibumi,文学者の恋文
Watashi no Sekai,私の世界
,EveR ∞ LastinG ∞ NighT
Rabu Dooru,ラブドール
Eto Setora,エト・セトラ
,认真卖萌么么哒
Shinzou Demokurashii,心臓デモクラシー
Gyakushuu no Meiko,逆襲のMeiko
,Invisible Tears
,Close My Eyes
Sakura Zensen Ijou Nashi,桜前線異常ナシ
Ikiryou,生霊
,白雪歌
Kirai na Hito,きらいな人
,WEBデザイン
Namida wa Sora ni Furu,涙は宇宙に降る
,For a Dead Girl+
"Hitohira, Harari.",一片、はらり。
Waaruzu Endo Tansuhooru,ワールズエンドタンスホール
Yuragi,ユラギ
,from G to M
Watashi Rice Teishoku Tabe ni Kita,わたしライス定食たべにきた
,WILDFIRE!!
Nakigoto,ナキゴト
Davinci no Kokuhaku,ダヴィンチの告白
,爱神love song
,Promisiuni
Hibikase,ヒビカセ
,The Little Witch
Houkou≒Emotion,咆哮≒Emotion
Chiisana Sanagi wa Mayu no Naka,小さな蛹は繭の中
,4U
Yume no Chikara,ユメノチカラ
,Wet bluemoon
,Melancholy Doll
,Francium
Goojasu Biggu Taidan,ゴージャスビッグ対談
,罂粟花冠
,Time Has Come
,lapis lazuli
Kin'youbi no Ohayou-another story-,金曜日のおはよう-another story-
Yubikiri,指切り
,erase or zero
,sweet_So_sweet
Izayoi Seeing,十六夜シーイング
Hai wa Hai ni,ハイハハイニ
,"Echo'''"" "
,丝竹之弦
,心跳同步的时光
Isshu no Pokemon Ieru no ka!,イッシュのポケモン 言えるのか！
,LETTER
Buraddi Gurabiti,ブラッディ　グラビティ
Kitsune no Yomeiri,狐の嫁入り
,VOCALAWSON desu.
Purezentii,プレゼンティー
,Knife
Taiyou to Tsuki no Rondo,太陽と月のロンド
,ECHO
,Falling
Meikyou Oni Warabe,明鏡鬼童
,アウトバーンカミカゼ
,ギャングアタック
,"BABY, I miss you"
Youkai Taisou Daiichi,ようかい体操第一
Haato a ra moodo,ハートアラモード
,Wonderful Pain
,コロナ
Tsurareta Otoko to Yume Onna,吊られた男と夢女
,La Audición
,シザーロイド
,Goodbye
Shura no Niwa,修羅ノ庭
,アンチグラビティーズ
,明日DISCO
,La triste tarde de Abril
,too Cute!
Tetorodotokisaiza Ni Gou,テトロドトキサイザ2号
,Cradle of Destiny
,So Labyrinthine
,Delusion<nowiki>|</nowiki>Spy
,Leo
,Various feelings
,Pigments
Monotoon Korekutaa,モノトーンコレクター
Sayonara Ryou-Kataomoi,さよなら両片想
Yoru no Yume,よるのゆめ
Haruka Kanata e,遥か彼方へ
,"Phone Addict'''"" "
,Y tus cosas en la puerta...
,Mi sueño
,Maremagno
,Te odio mi Amor
,"The Principles and Art of Ignorance and Suffering'''"" "
,Will You Die With Your Eyes Open?
,Arrow-ace
,Amor PSiCóPaTa
,Tu Eras
,Triste Culpa
,"Sacrilegio, Suicidio"
,"Tus Ojos, el Secreto"
,El mar y la tierra
,Seditio
,Song of Feels for you
,Vamos a cantar otra vez
,Soy tu Amor
,Affection
,Take My Soul
,Vulpecula et Anser
,Clouded Kindness
,Utopia (Super Miksu song)
300 Pun Toraberu,300分トラベル
,La Reina De Mis Sentimientos
,Descubrí
,Ganas de Vivir
,Todo El Mundo Me Conoce
,Aspirin
,Destruction of Insanity
,Break Out!
,相見歡
Rozetta,ロゼッタ
Ookina Sekai,大きなセカイ
,The thought to tell
,Caged Flower
,Метелица
,Blanco &#38; Negro
,Gravedad del Amor
,A Banshee Named 42
,"Fomalhault'''"" "
,Soundless Existence And Translucent Bodies
,Abre tu mente.
,Salty Resonance
,la Luz del Éxito
,Happy Halloween
,La Espera
,Ballroom Breakdown
,Electronegative
,morning haze
Sakasama Reinbō,逆さまレインボー
,In My Head
,FLARE
Sekai no Hazama,セカイの狭間
,Maybe Not
,18X
,Pinocchio
Nounai Kakumei Gaaru,脳内革命ガール
,Bad Guy
Keppekishou,ケッペキショウ
,妄想恋曲
,blue tears
,Crazy ∞ nighT
Bungaku Shounen no Yuu Utsu,文学少年の憂鬱
,Parades
,Fireworks
,トラベリングムード
,
,Borderline
Nantonaku Ittemitai Kotoba,何となく言ってみたい言葉
,22世纪摇滚王子
,エデン
,Twilight ∞ nighT
Romaji: Ima Suki ni Naru.,今好きになる。
,NOISE
,GODDESS
,scythe weasel
,相爱相杀
,Charming Kiss
Orenji,オレンジ
Masa ni... Masa ni... Megami-sama!!,まさに・・・まさに・・・女神サマ！！
,Hope
Umiyuri Kaiteitan,ウミユリ海底譚
Toosenbo,とおせんぼ
Sakasama Uchuu,さかさまうちゅう
,Be brave.
Shounen to Mahou no Robotto,少年と魔法のロボット
Hoshi ni Negai ga Todoku nara,星に願いが届くなら
Kimi Omou -smile again-,君想フ -smile again-
,海湾屠夫
Sore ga Anata no Shiawase to Shite mo,それがあなたの幸せとしても
,Connecting
Bouken no Sho ga Kiemashita!,ぼうけんのしょがきえました！
Aru Bakeneko no Koi Monogatari,或る化け猫の恋物語
Floriography -Wasurenagusa-,Floriography -勿忘草-
Niji,虹
,free
Majikaru Shinmetori,マジカルシンメトリ
,각개전투
Katorea,カトレア
,RE:SOUND
,"Show Me LOVE'''"" "
Chou to Hana to Kumo,蝶と花と蜘蛛
,COSMONAUTS
,Pinwheel
,SEE THE LIGHTS
Garakuta Innocence,我楽多イノセンス
Pazuru,パズル
,puzzle
,Project DIVA desu.
Suisei,彗星
Shokora to Inseki,ショコラと隕石
,Stay with me
Kyandi Adikuto Furu Koosu,キャンディアディクトフルコォス
,Pusse cafe
Jubunairu,ジュブナイル
Sayonara·Gubbai,サヨナラ・グッバイ
Monogatari wa Chitta Ato ni,物語は散った後に
Invijivuru Kokupitto,インヴィジヴルコクピット
Burakku Goorudo,ブラックゴールド
,Around the World
Kakumei,革命
Hakkoutai no Rudy,発光体のルーディ
,RING×RING×RING
Kaze ga Fukeba Jinrui ga Owaru,風が吹けば人類が終わる
,Child's Garden
Ame ga Futte.,雨が降って。
Kaanibaru,カーニバル
,ZIGG-ZAGG
,on the rocks
,Venus di Ujung Jari
Kicchin de Kappa ga Tanishi Yudeteru,キッチンでカッパがタニシ茹でてる
Suriipu・Sukai・Wouku,スリープ・スカイ・ウォーク
,不对等恋爱
Disutopia・Jipangu,ディストピア・ジパング
,Holography
Kanjou Dorobou,感情泥棒
Yume no Tsuzuki,夢の続き
Matsuribayashi,祭囃子
Kagerou Nikki,蜻蛉日記
Goumontou wa Nemuranai,拷問塔は眠らない
,Cold Stone
Jigen Chouyaku Shanpuu Hatto,次元跳躍シャンプーハット
,Sound Universe
,"""뜨거운 마음은♥사랑의 전력질주~!!"""
,한 소년의 이야기
,Go Forward
,PASSIONAIRE
Kon'ya ga Supankii,今夜がスパンキー
,INTERMISSION
Doutoku no Jukai,道徳の樹海
Sekai no Hajimari,世界のはじまり
,"Shine Star, Magnifique"
,Estamos Viviendo
Babiron,バビロン
Watashi wa Matte Imasu,Yo te espero
Ike Renka,イケ恋歌
Jiko Ken-o,自己嫌悪
,Equation+**
Sandosukureipā -Sabaku no Tokkyuusen-,サンドスクレイパー -砂漠の特急線-
,Gothic and Loneliness
,살아남아라 개복치!
,Quiero un Dinosaurio
Kakurenbo,かくれんぼ
,Reminice
,anger
,Ghost Sister
,c e n t i p e d e
,frosted
Genjitsu,幻日
,Symphony
Tasukete Doraemon,たすけてドラえもん
Kono Uta ga Owatte mo,この歌が終わっても
,A Clean House
,Steady Journey
,Chaos Theory
,SOLEDAD
,My Disbelief
,Critical Error
,HYBRID
,造梦器
,desync
,Black Sheep
,carry
,1st affection
,The Undertaker's Daughter
,Murmurs of Time
,bye-bye
,Nine Tailed Tale
,Caitlin
,Dream With You
,F☺☺lish
,살아가는 이유
,Black Bird
,Burn
,Why
O☆niishite Nani ga Warui no!,オ☆ニーして何が悪いの！
Paakaa Kita Kyara wa Dou Kangaete mo Kagepuro no Pakuri,パーカー着たキャラはどう考えてもカゲプロのパクリ
Kurou Gaaru,クロウガール
,SWALLOWTAIL ON THE SPIDER'z NET 
Acchi Kocchi,彼方此方
Maigo Raifu,迷子ライフ
Miketsu no Matsuri,御饌津の祭
,See u Tomorrow
Yotsuba no Kuroobaa,よつばのクローバー
Juusan-banme no Mokushiroku,十三番目の黙示録
Shounen wa Kyoushitsu ga Kirai datta no da,少年は教室がきらいだったのだ
Gachapocha,がちゃぽちゃ
Romaji: Sadisutikku Rabu,サディスティック・ラブ
PojiPoji,ポジポジ
Bungaku Shoujo Insein,文学少女インセイン
Ama Yume Rou,雨夢楼
Futairo,双色
Sakanagurashi,サカナ暮らし
Haru! Sakura! Ninja!,春！桜！ニンジャ！
Suupaa Hiiroo,スーパーヒーロー
,Love it!
,Full Throttle
Kyoukaisen wa Orenji,境界線はオレンジ
Sakusesu☆Rabu☆Misshon,さくせす☆ラブ☆みっしょん
Sono Kuchibiru wa Biyakunari,その唇は媚薬なり
Kuriya Sukai Kikan,クリヤスカイ機関
Miito Miitsu Gaaru,ミートミーツガール
,Lollipop Factory
,Ladies First
,Paranoid Doll
,单向苏醒
Aoi Konbini de Aimashou,青いコンビニであいましょう
Mitsuboshi Reshipi,三ッ星レシピ
Ashita ni Nareba Mata Tsuzuku,明日になればまた続く
,LOVE 'O CLOCK
Karafuru Firutaa,カラフルフィルター
Konbini to Anata no Soujisei ni Kansuru Arekore,コンビニとあなたの相似性に関するアレコレ
Konbini Yotte Kaerouyo,コンビニよって帰ろうよ
Sutoraipu no Santakurousu,ストライプのサンタクロース
Haremachi Yozora,ハレマチ夜空
Kimi no Sei dayo.,きみのせいだよ。
,Sunday
Chekku en Cheisu,チェックエンチェイス
,PIANO*GIRL
,Music Wizard of OZ
Naifu,ナイフ
,To My Friend
,Power
Sajou no Yume Kui Shoujo,沙上の夢喰い少女
,CONNECTION ~두 세계 사이에서~
,*one more kiss
Otogibanashi,音偽バナシ
Purimavueera,プリマヴェーラ
Kokou no Shin'iki -Eden of Nobleness-,孤高の神域-Eden of Nobleness-
,Gravity=Reality
Yumemidori,夢魅鳥
,雊鹆
Suzume no Namida,スズメノナミダ
Kimi no Taion,君の体温
Shin'on no Tokeitou,針音ノ時計塔
,Be My Boy
Koneko no Paya Paya,子猫のパヤパヤ
,Feel The Pain
Betsuni-kun to Kirai-chan,ベツニ君とキライちゃん
Rokkuya-san no Gudaguda Mainichi,ロック屋さんのぐだぐだ毎日
,Prototype
,BC
Kokyuu,呼吸
Hayate,疾風
Soukyoku-sei Torankiraizaa,双極性トランキライザー
,Scarlet M∞N
Kodoku no Bannin,孤独の番人
Ukareta Daigakusei wa Shine,浮かれた大学生は死ね
Yuugure Sensei,夕暮れ先生
Yume no Akuma,夢の惡魔
,From. SeeU
Toumei Suisai,透明水彩
,Silent sky
,아리랑
,mist-attachment in dark-
Yurufuwa Jukai Gaaru,ゆるふわ樹海ガール
Kimi wa Inase na Gaaru,君はいなせなガール
,Pygmalion
,Pain Killer
,END WITH YOU
,Forever and Ever
,MUGIC
Zutto Kono Mama,ずっとこのまま
Tokiwasurebito,時忘人
,Chillyditty Of February
,ワンツーハロー
Futari de.,ふたりで。
Yakusoku,約束
Yoake to Hotaru,夜明けと蛍
,drop of regret
Ji Owata＼(＾0＾)／,ジオワタ＼(＾0＾)／
,Take You Back
,Chocolate Chip Cookies
,Black Hole
,A Better Day
,Could I Just
Nakimushi Kareshi,泣キ虫カレシ
,Dreamer
,Music Box
,Runaway
,"'""'''「ω_н_ч」"
,GALLOWS BELL
Onamae,御名前
,CLAP HIP CHERRY
Nanatsu no Kane,七つの鐘
Mazu no Bouryaku Fikusaazu,魔都の謀略フィクサーズ
,Those Fragments
,A Parallel
,Reft Heart and Light
,why
,My Little Lady
Puropaganda,プロパガンダ
,Heartscaping
Isshinfuran,一心不乱
Hatsukoi Gakuen・Jun'ai Ka,初恋学園・純愛科
,Loops and Loops
Nibiirozora ni Hanafubuki,鈍色空に花吹雪
,サムライソウル
,Witches' Love
,Other Side
,Te extrañare
,시유에게☆맴매를
,낙화
Ano Ko wa Ryuu ni Au,あの子は竜に逢う
Kyouki Ranbu,狂喜乱舞
Batsu Geemu,罰ゲーム
Oozora Iro no Hi-To-Mi,大空色のHi-To-Mi
,Overwrite
,"""Episode.0"""
,Sweet's Beast
Iya Iya Seijin,イヤイヤ星人
,쌍둥이 성좌
,This Grimm Reminder
Gekioko Punpun Maru,激おこぷんぷん丸
Naitomea☆Paatii Naito,ナイトメア☆パーティーナイト
Doushite Kou Natta,どうしてこうなった
Asutoronootsu,アストロノーツ
Sora no Sakana,そらのサカナ
,피리부는소녀
Dennou Kyou Ai Gaaru,電脳狂愛ガール
Sore ga Bokura no JASUTISU,それが僕らのジャスティス
,LIVEDRIVE
Yakubyougami,ヤクビョウガミ
Shuuen no Shiori,終焉ノ栞
M'AIDER Sounan Gaaru,M'AIDER遭難ガール
Dr. Rearisutto ,Dr. リアリスト
,梨花雨
Uta,詩
Aru Futekigousha no Dokuhaku,或る不適合者の独白
Unrequited Love Samba,片想いサンバ
,언어의 노래
Usotsuki Beti,嘘つきベティ
Houkai Utahime -disruptive diva-,崩壊歌姫 -disruptive diva-
Doubutsu Uranai,どうぶつ占い
Rorikon wa Dame da yo~,ろりこんはだめだよ～
,Pretended Love
Harou Sutorobo,ハローストロボ
Garakuta no Erejī,ガラクタのエレジー
Toraianguru Haato,トライアングル・ハート
Paretto ni wa Kimi ga Ippai,パレットには君がいっぱい
Gokurakuchou -bird of paradise-,極楽鳥 -bird of paradise-
Sutorobo Raito,ストロボライト
Uta o Utau Hito,うたをうたうひと
Reiyaa Rabu,れいやー・らぶ
,RUN AWAY
,ATHENA
,Love and Death
,THUNDERSTORM
,DRAW A MELODY
,YOU WILL SEE.
,Rosary Pale
Kaitou・Kubozono Chiyoko wa Zettai Misuranai,怪盗・窪園チヨコは絶対ミスらない
,바다의 노래
,moment notes
Inobeeshon,イノベーション
Chitei-jin ga Miseta Batsugun Seikatsu-kan,地底人が見せた抜群の生活感
,innovation
,Spooky Cookies
Sainou Sanpuraa,サイノウサンプラー
,Gerbera
,Hetaira
,The Greatest Self Critic
,Bleeding Misery
Akai Kutsu no Pareedo,赤い靴のパレード
,Condemned
"Ameku, Yukinaku.","""雨く、雪なく。"""
,귀접
Hoshi no Uta,星の唄
,三原色 
,Sick
,Caballa 1/2
,Her
,Notebook
Tsugihagi Staccato,ツギハギスタッカート
Nishi e Iku,西へ行く
,HAYWIRE
,몽상뢰
,소야곡
,환상작용론
Jigo Sayouron,사후작용론
,기초상애론
,Chameleon Girls
,위선의 과학
,魔法旋律
,Marygold
,moonlit bear
,10000광년 너머
,우주 발명
Mase Renka,マセ恋歌
,boundary
,On You
,SET FREE
Only my Dreamland ~Yume no Mukou e~,Only my Dreamland ～夢の向こうへ～
,Innocent hearts
Kureijii・Kuraun,クレイヂィ・クラウン
,Falling Rain
METARU Kumikyoku -Transilvania-,メタル組曲-Transilvania-
,신호등
,Imitator
Boku wa Haineko,僕は灰猫
,아카펠라카다브라
,1절이라도 좋아♡
Hi Rai Shin,飛雷震
,DANCE FLOOR
Yooguruto Shoujo,優酪乳少女
Ai×Ai Hoissuru,愛×愛ホイッスル
,어떤 소녀의 노래
Aikagi Ganman to Aikagi Ninja,合鍵ガンマンと合鍵忍者
,홍시송
,NOYB
,"땅, 하늘 또 하나의 경계선"
,화살표 소녀의 유쾌한 인생
,鳳凰
,러시안 룰렛
,I=Nightmare
,No×6
,Dance Lessons
Amata no Mai -Dance of many-,数多の舞 -Dance of many-
,Glory 3usi9
,부재중
,베레타
Yume no Tonneru,夢のトンネル
,Luna Sea
,Pure Love
,Bling Bling★Brighten Every Days
,東田曉雨
,City of Sadness
,Cassiopeia
,Turn Back Halfway
,You&I
,울지 몰라
,FortuneDiver
Masutaa Obu Papettsu,マスターオブパペッツ
,ワールド・オブ・パラドクス
,クレヨン
,석양이 바다가 되어
,Liminales
,Absolunote
Tsuki Mukou Made no Toraberu,月向うまでのトラベル
,판도라의 상자
,침
,세계에 홀로 남은 소녀
,Harshest Love
Jugemu Shiikensaa,ジュゲムシーケンサー
,Hurtful Chain
,Vidas Simultáneas
Sunoman,スノーマン
,Book of Goodbyes -Brand New Day-
,New world
,Shine for me
,Let me fly
Naito ando Dei,ナイトアンドデイ
,FATE
,Let The Music Speak
,Coming Together
,Dal Segno
,Mine
,사형
,[Cube]
,巴冷公主
,小小思念
,쉼표
,Always
,The Blue
,눈 오는 날
Repurikanto,レプリカント
,In the Rain
,Escape
"GUBBAI, ROKKU N ROORU",グッバイ、ロックンロール
,Good Bye
,ガラスティックハート
,yellow lines
Sarangui Norae,사랑의 노래
,유격의 밤
,사랑의 씨앗
,국회
Erekutorikku・Sutaa,エレクトリック・スター
,Lalala.Refrain
,Uninstall
,모닥불
,RUN
,별의 아이
,梦想世界
,反正不是亲生哒
,Go! 3 Moe
,알에서 깨어나는 병아리를 위해
,Memories
,Bright
,怎麼辦
,6AM
,CU Tomorrow
,자존심
,HappyX2 Birthday
,Signal Scream
Yuki Usagi,ゆきうさぎ
,부농강도
,와카노 the Busanloid
,LINE OF FIRE
,고백
,Regular
,STARDUST
,Korozashisakae's Mysterious Package
Oni KYOKAN,鬼KYOKAN
,Color
,crescendo
,A Certain Night
,Tender Moon
,C : DRIVE VOCALOID
,love addiction
,Leviathan
Chikemuri Ryojo Inmoraru Teisuto,血煙旅情インモラルテヰスト
,검의 눈물
,마늘송
,Remember
,작은별 호시아메
,天空物语
,Rainy Day
,함정
,종대
,CRUSH DOWN
,poetaster_and_singing_dolls_
Manatsu no Juusei,真夏の銃声
,光
,Justice
,꿈의 날개
,tete-a-tete
,2GEO시 크리스마스
,Crystalline
Shoujo Misui,少女未遂
,Side S : 인계시뮬레이커
,Side A : 스터프메이커
,꿈같은 이야기
,Sympathy
Koi Nooto////,恋ノート////
,담초야행
Sora to Tsunagaru Made,空と繋がるまで
,in the rain
,포트나이트시티
,하이브리드시티
,8월 30일
,モーニングコール
,virgin suicides
Sayonara Porarisu,さよならポラリス
,수면제
,환상 메모리즈
,权御天下
,용사 찾기 대마왕
,Loving U
,노래인형
,그래 안녕
,Think the Future
Kyoto Dagashiya Sensou,京都ダ菓子屋センソー
Torikorooru Ea Rain,トリコロール・エア・ライン
,Mellow Yellow
,AFTER BURNER
,사랑 모두
,「Crystal Dragon's Melody」
,slump
,So much loving you★
,点妆谣
,참회
,새벽의 제국
,본격 시유 튕기는 노래
,본격 시유 공부하는 노래
,
,voice
Suteppu Fowādo,ステップフォワード
Yuukyuu-Song of Eternity-,悠久-Song of Eternity-
,"태초의 노래, 노래의 종말"
,EXIST
"Ureshii, Tanoshii, Shiawase Kaanibaru.",嬉しい、楽しい、幸せカーニバル。
Sakura no Kisetsu,桜の季節
Bakusai Purin,爆砕プリン
,Bullet
Mitsugetsu An Du Torowa,蜜月アン・ドゥ・トロワ
,Diamond Venus
Kankoku no Minasan Shinde Kudasai,韓国の皆さん　死んでください
,쾌진격
,ルシッドドリーミング
,兄/妹控即是正☆义！
,叹江湖 
,Lifeline
,Crushed
,어름구름
,새벽의 여신
,Parallel Lines
,Poe
,Last Stop
,WANDERER
,Graveyard Mutt
,Light Comes My Way
,Blindness
,iDOLLA
,Glow
,Doll
,θ : Theta
,Cosmic Discretization
Ai,愛
,crack
,fix
Sora No Kanata,ソラノカナタ
,하이텐션
,동토
Bokumetsu na no desu!,撲滅なのです！
Kuppuku to Taida,屈服と怠惰
,"Walk Together'''"" "
Nankai Ren'ai,ナンカイレンアイ
,★HOPSTEPA★
,Innocent Love
Kimi ni,キミに
,break;down
Bureinzu Gaisuto,ブレインズガイスト
Inishie ni Fuuin Sareshi Kyuukyoku Kuro Mahou (Butsuri),古に封印されし究極黒魔法（物理）
,홀로서는 나는 초라하지 않아
Raia,ライア
,我要买买买
,月之旅
,Re;BIRTH
,Proof
,Boku-Boku .β
Tonchinkan no En,頓珍漢の宴
,NEL
,Treasure
Aiyoku no Purizunaa,愛欲のプリズナー
,La Llorona
,女表口力口
Haato Tu Haato,ハートトゥハート
,Mute
Dekiwaku,溺惑
Tokyo Riaru Waarudo,東　京　リ　ア　ル　ワ　ー　ル　ド
,普通DISCO
,Don't Go
Piero Purei,ピエロプレイ 
Nibyoukan,ニビョウカン
Kurisutiine no Shashin,クリスティーネの写真 
,Drown
Okizari Tsukiyo Shou,置き去り月夜抄
,Knock-Lock-out
Morumotto to Youhei,モルモットと傭兵
,"Snow Fairy Story"""
,例行异常行为准则
," Guilty Rose '''"" "
,美麗氣象
Shugaabain,シュガーバイン
,전화받아
,"Rafflesia'''"" "
Enzerufisshu,エンゼルフィッシュ
,세상 끝에서
Sayoko,小夜子
,Soleil
,Vivid Toxin
,I HATE YOU
,Only your Idol
,星屑碎片
,Pumpkin Spice Dummy
Kono Shiawase wo,このしあわせを
Bai Bai Sūpāsutā,ばいばいスーパースター
Ame ga Fureba,あめがふれば
,CHASER
Ima Suki ni Naru.-triangle story-,今好きになる。-triangle story-
,Fairy Forest
,미소녀 연예 리얼리티
Kimi wo Wasurenai,きみをわすれない
Kimi no Koe,キミノコエ
,造神
,雨巷
Boukoku no Nemesis,亡国のネメシス
,miRage
,Honey²
Haiiro no Rakuen,灰色の楽園
,踮起腳尖
,转发就会有好运陆续来
,枯干的画笔
,Crow and Fox
,Unforgiven
Appaa Chuun,アッパーチューン
"Ok, Midori wa, Teki da. </br>","おｋ、緑は、敵だ。'''"" </br>"
Minna de! Yattaa!!,みんなで！やったー！！
,所谓自由
,tig-hug
,Mr. Wonder
,Lovely Star
,Behind My Daisy
,vividest
,愛的物語
,In Your Dark
,洛氏功夫娘
,女孩你为何踮脚尖
,Forest Child
,Critical Values
,against the world
Nemuri Hime,ネムリヒメ
,Maypole Tree
,The Flower Girl
,Song of Amergin
,Downtown Drifter
,Crow
,Dryad
,In The Scary Ocean
Kamuiyou,神居謡
,Lost In Thought'
,Super Bonus Points
,Digital Dream
,Sunshine
,陰陽先生
,Desire
Jun'ai Risutoreinto,純愛リストレイント
,In Verbatim
,Realm Beyond
,Aberration
Hoshi Hime,星姫
Dandan Takaku Naru,だんだん高くなる
Onigumo to Kitsune no Shishi to,鬼蜘蛛ト狐ノ獅子ト
,link Up!
I Nammaega Saneun Beop,이 남매가 사는 법
,今天没吃药
Shakai Shugi★Darin,社会主義★だーりんっ
Juugo Sai no Fuyu,열다섯의 겨울
,歪脑筋，好学生
Hamkkehaja,함께하자
,Carry on
,U Belong to Me
,Everlasting Love
,Press That Accelerator
,Entrust
,혼돈과 파괴의 발렌타인 데이
Hajimari no Sayonara,ハジマリノサヨナラ
Kimi ga Mata Utaitaku Naru Koro ni.,キミがまた歌いたくなる頃に。
Nyuusu 39,ニュース39
,暗影島
,Happy Rainy Day
,Six Greetings
,ペイメント
,Night of the Magic
,Chocolat
,Only Time
,Wishing on a Star
,Dreams Betray You
,Deep Peace
,Falling Apart
Omamori,御守
Asu no Hikari,アスノヒカリ
Kyousou Hyupunoshisu,狂躁ヒュプノシス
,僵尸舞
Chokoreito no Namida,チョコレイトの涙
Byeorui Moksori,별의 목소리
,Showroom Dummy
Kotoba no Iranai Yakusoku,"言葉のいらない約束"""
Mishiranu Hito no Tame no Waltz,見知らぬ人のためのワルツ
,Break the Mirror
,RiGGED DiCE
,The Hope
Manatsu no Senkou,真夏の閃光
,NIGHTMARE
,Miraculous Encounter
,You Are The Reason
Hoshi no Kakera,星のかけら
,LoveDroid
,Time After Time
,Don't Don't
,The Perfumer's Perfect Fumes
,Oliver's Lullaby
,"""Information Superhighway"""
Mahou no Kotoba,魔法の言葉
,ITA-BASAMI
,죽어도 못 보내 Remix
,Cruz de Navajas
,Ni una Sola Palabra
,Garota de Ipanema
,SNOW PHANTOM
Suuji Asobi Kuizu,数字遊びクイズ
Okotowari Shimasu,お断りします
,Crystalline
,Electro★Trip
Meoriga Eongkyeosseoyo,머리가 엉켰어요
Shimiyuku,シミユク
,Replica
,星雨之夜
Otona Paati,オトナ・パーティ
,Dearest One
,Twinkle World
,Title
,Título
Taitoru,タイトル
,標題
,타이틀
,標題
,Títlo
,Titre
,Carry Me Off
,Haunted
,Rainy Trail
,faded light
,Without Wings
,Scenery
,Sonika Says
,The Lion Sleeps Tonight
,99 Red Balloons
,专属权
,SHOOT ON TOKYO！
Todoketai &#x7c; no ni,届けたい&#x7c;のに
,雨落如注
,Diving Through Stars
,sip??
,in a cage
,I'm Going Home
Koudai na Ginga,広大な銀河
,The Endless Love
Itachigokko ∞ Lovers,いたちごっこ ∞ らゔぁーず
,天朝从众效应
Nanakorobiyaoki Sennen no Tabi,七転び八起き千年の旅
,White Letter
,スマイリー^2 (スマイリー×スマイリー)
Rin-tan no tēma,リンたんのテーマ
Ren-tan no tēma,レンたんのテーマ
Miku-tan no Teema,ミクたんのテーマ
,Shout for Life
"Itsuka, Shinderera ga",いつか、シンデレラが
Sennen Time Capsule,1000年タイムカプセル
Hakoniwa no Yume,箱庭の夢
Kaitou Piitaa & Jenii,怪盗ピーター＆ジェニイ
Piribuneun Sanai,피리부는 사나이
Pantsu no Uta,ぱんつのうた
,KEEP×OUT！
Tengoku to Jigoku,てんごくとじごく
Toriatama,トリアタマ
,a sweet typhoon
Shiawase no Katachi,幸せのかたち
Synchronicity ~Dainishou Hikari to Kage no Rakuen~,Synchronicity ~第二章 光と影の楽園~
,Toy Box
Haisensu Nansensu,ハイセンスナンセンス
Onegai Sekai,オネガイセカイ
,Slowly sky
Kouhaku Manjusha Uta,紅白曼珠沙歌
Mahou no Kagami,魔法の鏡
,Love Love Nightmare
,「Ib」-forever-
Peropero,ぺろぺろ
Manjiji☆Ma!!,만지지☆마!!
,Song For You
,齐德隆咚呛
Teito Gunjou,帝都群青
,Crocodile Tears
,Two Hearts
,七秒之恋
Anderutse,アンデルツェ
,Satisfaction
,东京不太热
Garakuta Pareedo,ガラクタ・パレード
,Tendrils Of Tenebrae
Puraguauto,プラグアウト
,七十億分之一的代替品
Omuraisu ga Taberarenai,オムライスが食べられない
Gobanme no Piero,五番目のピエロ
,洛天鱼之歌
Tsubaki Oni,椿鬼
Mahō Shōjo Rajikaru Peinto,魔法少女ラジカルペイント
,BadBye
Mahou Shoujo Koufukuron,魔法少女幸福論
,Gravity
Kurasuruumu no Boukan-sha,クラスルームの傍観者
Meido no hoshi kara S.O.S,メイドの星からS・O・S
,Il pleure dans mon cœur
,Quad
,accel.
Erekutoronikku・Jenosaido,エレクトロニック・ジェノサイド
Makeinu Shijou Shugi,負け犬至上主義
,月白色倒影的少女
Noboribou,のぼり棒
Kuusou Ressha,空奏列車
,No te detengas
,Snow-White and Black-Ashes
,Drifting Apart
Kotoba Asobi,言葉遊び
,中华烛火娘
,B Who I Want 2 B
,Alone
,Put Down
,One Last Kiss
,One By One
,Go On
,So What
,Grow
,操戈天下
,中华粘土娘
,Scarlet Drop
,First Time
Sayonara Dake ga Jinsei da,さよならだけが人生だ
,Calendar
Kokoro Kizu,ココロキズ
KURISUMASU ROOZU,"""クリスマスローズ"""
,Tiny PaRadisE
,bpm
,a lot of mini car are driving in my brain.
,孤高光棍歌
,神经病之歌
,INTERSTELL∆R
,MONSTERS IN ME
,Dysmorphiac
,蔷薇革命
,Who'd You Be Today
TSUKISHIRO,月魄 -TSUKISHIRO-
Shokuetsu Parasaito,"食悦パラサイト'''"" "
,Ice Lilly Pad
Debu no Subete,デブのすべて
