○○は受信機なんです,○○はじゅしんきなんです
君は大人になっていく,きみはおとなになっていく
キミ吐きチアノーゼ,きみはきちあのーぜ
君は言葉を喋れない,きみはことばをしゃべれない
君は空へ堕ちてゆくから,きみはそらへおちてゆくから
君は発泡スチロール,きみははっぽうすちろーる
キミハぱっぱら！,きみはぱっぱら
君は美人じゃないから。,きみはびじんじゃないから
きみは未来の女の子だから,きみはみらいのおんなのこだから
君は無慈悲な僕の女王,きみはむじひなぼくのじょおう
君は夢のなかに,きみはゆめのなかに
君は私の心の人だから,きみはわたしのこころのひとだから
君へ/レタスP,きみへ
キミへ,きみへ
君へ/kagari,きみへ
君への歌,きみへのうた
きみも悪い人でよかった,きみもわるいひとでよかった
キミユゲサイレント,きみゆげさいれんと
君よミクの望みの喜びを,きみよみくののぞみのよろこびを
キミリサイクル,きみりさいくる
キミヱノウタ,きみゑのうた
キミを失って,きみをうしなって
君を奪いたくて,きみをうばいたくて
君ヲ刻ム雨,きみをきざむあめ
君を喰らい尽くしてしまう前に,きみをくらいつくしてしまうまえに
君を越えて,きみをこえて
きみをさがして,きみをさがして
君を好きなことがバレた,きみをすきなことがばれた
君を好きになった瞬間,きみをすきになったしゅんかん
キミヲセニ,きみをせに
キミを…とおせんぼ,きみをとおせんぼ
君を鳴らしていた,きみをならしていた
君を見た光,きみをみたひかり
君を忘れた,きみをわすれた
君を忘れて,きみをわすれて
君を忘れて何処へ行く,きみをわすれてどこへいく
きみをわすれない,きみをわすれない
キミ＊アイ,きみ＊あい
きむた,きむた
キムチテレビ（の外国人持株比率の高さは異常）,きむちてれび（のがいこくじんもちかぶひりつのたかさはいじょう）
キメラ/ATOLS,きめら
キモウト☆だいばくはつ,きもうとだいばくはつ
キモカワP,きもかわぴー
キモチ,きもち
キモノ・ドレス,きものどれす
華奢な手首,きゃしゃなてくび
キャスティングミス,きゃすてぃんぐみす
キャッチ,きゃっち
キャッチャー・イン・ザ・ワールズエンド,きゃっちゃーいんざわーるずえんど
キャットアイメイク,きゃっとあいめいく
キャピタリズムドッグ,きゃぴたりずむどっぐ
キャプテンミライ,きゃぷてんみらい
キャプテン・クックと水葬,きゃぷてん・くっくとすいそう
キャラクター／コレクター,きゃらくたー/これくたー
キャラバンクルー,きゃらばんくるー
キャラメルティアドロップ,きゃらめるてぃあどろっぷ
キャラメルヘヴン,きゃらめるへぶん
キャロライン,きゃろらいん
キャンディ×レイン,きゃんでぃ×れいん
キャンディ◆ホリック,きゃんでぃ◆ほりっく
キャンディ！キャンディ！キャンディ！,きゃんでぃきゃんでぃきゃんでぃ
キャンディポップじゃ笑わない,きゃんでぃぽっぷじゃわらわない
キャンディライフ☆,きゃんでぃらいふ
キャンディロケット,きゃんでぃろけっと
キャンディージャーの地平面,きゃんでぃーじゃーのちへいめん
キャンディーポイズン,きゃんでぃーぽいずん
キャンバス,きゃんばす
キャンパーズ・ハイ,きゃんぱーずはい
キャンプはグラタン,きゃんぷはぐらたん
窮,きゅう
求愛性瞳孔反射,きゅうあいせいどうこうはんしゃ
吸欠鬼,きゅうけつき
吸血鬼とピアノ,きゅうけつきとぴあの
救済者は語る/CD,きゅうさいしゃはかたる
給食のおばさんが僕らの給食食べちゃった！,きゅうしょくのおばさんがぼくらのきゅうしょくたべちゃった
九十九,きゅうじゅうきゅう
救世主はいなかった,きゅうせいしゅはいなかった
急転直下,きゅうてんちょっか
キュウビ御霊会ミステリヰ　～起承～,きゅうびごりょうえみすてりゐ ～きしょう～
旧ミクっていうな！,きゅうみくっていうな！
きゅうりP,きゅうりぴー
キュリオ・シティ,きゅりおしてぃ
キュン♡コイ,きゅん♡こい
キューティ・ポップ！,きゅーてぃぽっぷ
キューティージェリー,きゅーてぃーじぇりー
キューピッドはもうやめた！,きゅーぴっどはもうやめた！
杞憂,きゆう
今日、明後日、いつだって,きょう、あさって、いつだって
今日、卒業します。,きょう、そつぎょうします。
今日あった哀しいことを教えて,きょうあったかなしいことをおしえて
共依存,きょういぞん
境界性ラインアート,きょうかいせいらいんあーと
狂界線,きょうかいせん
境界線/バイカP,きょうかいせん
境界線/とある厨二の大学生,きょうかいせん
境界線とイノセント,きょうかいせんといのせんと
境界線の向こうへ,きょうかいせんのむこうへ
境界線はオレンジ,きょうかいせんはおれんじ
境界線を飛びこえろ！,きょうかいせんをとびこえろ
境界のフーディーニ,きょうかいのふーでぃーに
鏡花水月/ぺんすてP,きょうかすいげつ
共感覚おばけ,きょうかんかくおばけ
キョウキ,きょうき
今日黄信号で、轢かれそうになったよ。,きょうきしんごうで、ひかれそうになったよ
狂気でしょでしょ？,きょうきでしょでしょ？
キョウキニシテ,きょうきにして
狂喜乱舞,きょうきらんぶ
京極みやび,きょうごくみやび
教室戦線異状なし,きょうしつせんせんいじょうなし
教室戦争,きょうしつせんそう
教室の外、さんざめく。,きょうしつのそとさんざめく
強者絶対主義,きょうしゃぜったいしゅぎ
郷愁サンバ,きょうしゅうさんば
郷愁は赤色,きょうしゅうはあかいろ
キョウシンカイロ,きょうしんかいろ
狂信者的カミサマ信仰,きょうしんしゃてきかみさましんこう
今日じゃなくてよかったよ,きょうじゃなくてよかったよ
狂人乱舞,きょうじんらんぶ
キョウセイレンアイシステム,きょうせいれんあいしすてむ
今日、世界が,きょうせかいが
狂痛性ピエロ,きょうつうせいぴえろ
驚天動地,きょうてんどうち
今日という日を心に留めて,きょうというひをこころにとどめて
共同声明,きょうどうせいめい
今日のヒーロー,きょうのひーろー
京の夕暮れ,きょうのゆうぐれ
きょうは晴れだって,きょうははれだって
共犯者,きょうはんしゃ
京橋 ひよわ,きょうばし　ひよわ
狂猫は笑う,きょうびょうはわらう
共鳴,きょうめい
響命開花,きょうめいかいか
叫鳴ムジカ,きょうめいむじか
今日も,きょうも
今日もありがとう,きょうもありがとう
今日も怯えていますか？,きょうもおびえていますか？
今日も貴重な酸素を消費しただけでした/CD,きょうもきちょうなさんそをしょうひしただけでした
今日も貴重な酸素を消費しただけでした,きょうもきちょうなさんそをしょうひしただけでした
今日もキョウトていい天気,きょうもきょうとていいてんき
今日もサクラ舞う暁に,きょうもさくらまうあかつきに
きょうもしあわせ,きょうもしあわせ
今日も空が綺麗だから,きょうもそらがきれいだから
きょうもハレバレ,きょうもはればれ
今日も人は生きている,きょうもひとはいきている
今日もボクは生きるのです。,きょうもぼくはいきるのです。
今日も負けた！,きょうもまけた
共有結合,きょうゆうけつごう
享楽的ブリオッシュ,きょうらくてきぶりおっしゅ
狂爛ディスコード,きょうらんでぃすこーど
狂乱の宴,きょうらんのうたげ
虚影の愛し方,きょえいのあいしかた
虚栄の花,きょえいのはな
極星に伸ばす指,きょくせいにのばすゆび
極東デカダンス,きょくとうでかだんす
極東ロマネスク,きょくとうろまねすく
曲名、募集中。,きょくめいぼしゅうちゅう
キョゲンシャボン,きょげんしゃぼん
虚言癖少女とプリズナー彼氏,きょげんへきしょうじょとぷりずなーかれし
虚構アンダーグラウンド,きょこうあんだーぐらうんど
虚構の光,きょこうのひかり
虚構反転↑↓インバース,きょこうはんてん↑↓いんばーす
虚実,きょじつ
虚実の境界線,きょじつのきょうかいせん
虚弱な愛と恋と,きょじゃくなあいとこいと
虚像な少女,きょぞうなしょうじょ
虚像の現,きょぞうのうつつ
巨大少女,きょだいしょうじょ
曲解ブレイン,きょっかいぶれいん
(∵)キョトンP,きょとんぴー
キョドリスト,きょどりすと
キョーカ*99,きょーかきゅうきゅう
キヨテルなう！,きよてるなう
清姫道成寺,きよひめどうじょうじ
キライ,きらい
キライ・キライ・ジガヒダイ！,きらいきらいじがひだい
きらいな人,きらいなひと
キライなモン。,きらいなもん。
嫌いにならないでネ,きらいにならないでね
キラキラ/hollow.esc,きらきら
キラキラ☆カプセル,きらきら☆かぷせる
キラキラ　モーメント,きらきら　もーめんと
キラキラ☆ジュエル,きらきらじゅえる
キラキラな日常,きらきらなにちじょう
キラキラの熱帯魚,きらきらのねったいぎょ
きらきらりんご,きらきらりんご
キラキラレンレンコンテスト,きらきられんれんこんてすと
キラキラ／リフレーム,きらきら／りふれーむ
キラっ☆　輝き系女子,きらっ　かがやきけいじょし
キラと星屑,きらとほしくず
綺羅星,きらぼし
キラ星ひかる,きらぼしひかる
きらめきエクスプレス,きらめきえくすぷれす
キラメキスノウスターマイン,きらめきすのうすたーまいん
煌めく未来に,きらめくみらいに
煌めけ!!華音女!!～大輪乱舞～,きらめけはなおとめ　たいりんらんぶ
キララ,きらら
きらり,きらり
嫌われ者のテーマ,きらわれもののてーま
きらわれる勇気,きらわれるゆうき
キラーチューンオーバーチュア,きらーちゅーんおーばーちゅあ
蛬,きりぎりす
キリサケ!,きりさけ
霧雨とコヨーテ,きりさめとこよーて
切り取った証明と,きりとったしょうめいと
キリトリセン,きりとりせん
霧の向うへ,きりのむこうへ
きりんさんぐるんぐるんのうた,きりんさんぐるんぐるんのうた
キルマー,きるまー
キレイ事,きれいごと
キレキャリオン,きれきゃりおん
帰路奇譚,きろきたん
金色オルカ,きんいろおるか
金柑畑で会いましょう,きんかんばたけであいましょう
緊急性通信型求愛ラブコール,きんきゅうせいつうしんがたきゅうあいらぶこーる
金魚に化粧と塩胡椒,きんぎょにけしょうとしおこしょう
金魚ノ恋文,きんぎょのこいぶみ
金魚鉢,きんぎょばち
キンギョヒメ,きんぎょひめ
金魚姫と囃子歌,きんぎょひめとはやしうた
キンクマブルース,きんくまぶるーす
金月,きんげつ
キンコンカンの鐘,きんこんかんのかね
金星のダンス,きんせいのだんす
金盞花,きんせんか
金太郎を捌いて刺身にする歌,きんたろうをさばいてさしみにするうた
禁断××中毒,きんだん××ちゅうどく
黄金の翅,きんのはね
金髪碧眼★サティスファクション,きんぱつへきがん★さてぃすふぁくしょん
近未来型空想都市,きんみらいがたくうそうとし
近未来脳内科学者,きんみらいのうないかがくしゃ
近未来ラジオ,きんみらいらじお
キンモクセイ,きんもくせい
金曜日のおはよう,きんようびのおはよう
祇園櫻,ぎおんざくら
ギガ・パンプキン,ぎがぱんぷきん
戯曲的リアリズム,ぎきょくてきりありずむ
戯曲とデフォルメ都市,ぎきょくとでふぉるめとし
偽罪,ぎざい
偽終止253,ぎしゅうし
偽色街,ぎしょくがい
疑心暗鬼,ぎしんあんき
ギシンアン鬼,ぎしんあんき
疑心暗鬼クエスト,ぎしんあんきくえすと
疑心のバースデイ,ぎしんのばーすでい
疑似科学少女奇譚,ぎじかがくしょうじょきたん
ぎぜんしゃ星人,ぎぜんしゃせいじん
偽装論,ぎそうろん
ギターが上手に弾けたら。,ぎたーがじょうずにひけたら。
ギターなんて、もう弾かない。,ぎたーなんて、もうひかない。
ギフト,ぎふと
ギプスとセカイ,ぎぷすとせかい
欺瞞-ディスエイブル,ぎまん-でぃすえいぶる
ギミ・ア・ニューゲーム,ぎみあにゅーげーむ
ギミイ,ぎみい
ギムレット,ぎむれっと
逆切れロンドンブーツ,ぎゃくぎれろんどんぶーつ
逆襲のろどろら,ぎゃくしゅうのろどろら
逆襲のロードローラー,ぎゃくしゅうのろーどろーらー
虐待ソニック,ぎゃくたいそにっく
逆転ゲーム,ぎゃくてんげーむ
逆方向の街,ぎゃくほうこうのまち
逆流性片想い病棟,ぎゃくりゅうせいかたおもいびょうとう
逆光P,ぎゃっこう
ギャラクシアン・ルーレット/CD,ぎゃらくしあん・るーれっと
ギャラクシアン・ルーレット,ぎゃらくしあん・るーれっと
ギャラリア,ぎゃらりあ
ギャングアタック,ぎゃんぐあたっく
ギャンブラーハンター,ぎゃんぶらーはんたー
ギャンブルシンドローム,ぎゃんぶるしんどろーむ
牛丼恋味　もう一杯♪,ぎゅうどんこいあじもういっぱい
牛乳飲め！,ぎゅうにゅうのめ
ぎゅって恋して堕としめて...,ぎゅってこいしておとしめて
ぎゅ～っ☆とね,ぎゅ～っとね
玉砕論理,ぎょくさいろんり
魚類による考古学,ぎょるいによるこうこがく
ギョーザ食べよっ！,ぎょーざたべよっ
義翼,ぎよく
ギルティダンスは眠らない,ぎるてぃだんすはねむらない
ギルティラバーズ,ぎるてぃらばーず
ギロカクファイブ,ぎろかくふぁいぶ
吟,ぎん
銀色,ぎんいろ
銀色の,ぎんいろの
銀色のキャンバス,ぎんいろのきゃんばす
銀色の流れる砂,ぎんいろのながれるすな
銀色ハイウェイ,ぎんいろはいうぇい
銀色白昼夢,ぎんいろはくちゅうむ
銀色ロケット,ぎんいろろけっと
銀河,ぎんが
銀河鉄道と二枚の切符,ぎんがてつどうとにまいのきっぷ
銀河電燈,ぎんがでんとう
銀河とハッピーエンド,ぎんがとはっぴーえんど
銀河放浪ミラーツインズ,ぎんがほうろうみらーついんず
銀狐,ぎんぎつね
銀行強盗ファンタスティック,ぎんこうごうとうふぁんたすてぃっく
銀サク,ぎんさく
銀聖のアルテミス,ぎんせいのあるてみす
銀雪焔夢,ぎんせつえんむ
銀の飴,ぎんのあめ
銀のティア,ぎんのてぃあ
銀の森でワタシは影踏みをした,ぎんのもりでわたしはかげふみをした
銀鱗,ぎんりん
食いしん坊のラプソディ,くいしんぼうのらぷそでぃ
くう,くう
空間の歪みによる曲がり角の天使,くうかんのゆがみによるまがりかどのてんし
空間フォビア,くうかんふぉびあ
空間魔法学,くうかんまほうがく
空劫かく語りき,くうこうかくかたりき
空想エレクティカ,くうそうえれくてぃか
空想神様 ver.A,くうそうかみさま
空想神様,くうそうかみさま
空想機関,くうそうきかん
空想机上論,くうそうきじょうろん
空想境界線,くうそうきょうかいせん
空想⇔現実メトロノーム,くうそうげんじつめとろのーむ
空想思想歌,くうそうしそうか
空想少女,くうそうしょうじょ
空想しょうもない日々,くうそうしょうもないひび
空想ジオラマハート,くうそうじおらまはーと
空想するθ,くうそうするθ
空想世界デ生キル彼女,くうそうせかいでいきるかのじょ
空想庭園依存症,くうそうていえんいぞんしょう
空想デストロィ,くうそうですとろぃ
空葬による変革の胎動,くうそうによるへんかくのたいどう
空想の花,くうそうのはな
空奏花火,くうそうはなび
空想ヒエラルキー,くうそうひえらるきー
空想メモライズ,くうそうめもらいず
空想流星群,くうそうりゅうせいぐん
空奏列車,くうそうれっしゃ
空疎世界の前奏曲,くうそせかいのぜんそうきょく
空疎な嘘と愛の歌,くうそなうそとあいのうた
空中アクアリウム,くうちゅうあくありうむ
空中庭園,くうちゅうていえん
空中分解,くうちゅうぶんかい
空中遊泳少女,くうちゅうゆうえいしょうじょ
空中旅行記,くうちゅうりょこうき
空中楼閣,くうちゅうろうかく
空調不調,くうちょうふちょう
空洞より,くうどうより
空白,くうはく
空白があるということ,くうはくがあるということ
クウヤ,くうや
くえすちょん？はーと,くえすちょんはーと
クエスチョンマーク,くえすちょんまーく
クエスト,くえすと
クオリア,くおりあ
クオリアの終点に至る夜,くおりあのしゅうてんにいたるよる
苦界のダンス,くかいのだんす
クカナマグ☆,くかなまぐ
苦艾の夢,くがいのゆめ
九月蝉,くがつぜみ
釘バットギャングの日常～下北編～,くぎばっとぎゃんぐのにちじょう～しもきたへん～
九九の歌,くくのうた
ククルカン,くくるかん
傀儡姫,くぐつひめ
くさりくさりぐさり,くさりくさりぐさり
腐れ外道とチョコレゐト,くされげどうとちょこれゐと
くじくじら,くじくじら
クジラ,くじら
くじらと　わたしと　わたしと　歌おう,くじらとわたしとわたしとうたおう
くじらの餌,くじらのえさ
くじらの街,くじらのまち
屑/日向カラカゲ,くず
クズ大学生のうた,くずだいがくせいのうた
屑と呼んで,くずとよんで
屑人間の遺書,くずにんげんのいしょ
崩れゆく世界にさよならを言う僕は,くずれゆくせかいにさよならをいうぼくは
曲者P,くせもの
クソビッチ,くそびっち
クソムシといわれたい,くそむしといわれたい
くたばれウェディングベル,くたばれうぇでぃんぐべる
下り電車に乗ろうよ,くだりでんしゃにのろうよ
クチウツシ,くちうつし
口咲きから花言葉,くちさきからはなことば
口裂け少女,くちさけしょうじょ
接吻は刹那,くちづけはせつな
口無少女とおもちゃ箱,くちなししょうじょとおもちゃばこ
クチナシの花,くちなしのはな
口には必要悪の味が残る,くちにはひつようあくのあじがのこる
朽ち果ててゆくの,くちはててゆくの
朽橋 -KUCHIBASHI-,くちばし
嘴を鳴らす,くちばしをならす
口火,くちび
口笛番外地,くちぶえばんがいち
朽ちる世界,くちるせかい
口を衝く,くちをつく
屈服と怠惰,くっぷくとたいだ
靴と爪,くつとつめ
くつひもをほどいたら,くつひもをほどいたら
靴磨きとマリア,くつみがきとまりあ
クドリャフカ/←P,くどりゃふか
國ヤブレテ,くにやぶれて
クネン,くねん
くぱぁ♡　〜ヒラケゴマ〜,くぱぁ♡　〜ヒラケゴマ〜。
くぱあ★音頭,くぱあ★おんど
首/alt.pop,くび
首吊り人の樹と二人の男,くびつりびとのきとふたりのおとこ
クピドとピストル,くぴどとぴすとる
クマロボ,くまろぼ
～組曲～,くみきょく
組立屋,くみたてや
蜘蛛糸カゲロウ,くもいとかげろう
雲になったら,くもになったら
雲の食卓,くものしょくたく
蜘蛛の花,くものはな
雲の光り,くものひかり
雲の船,くものふね
雲のように,くものように
曇り空のエール,くもりぞらのえーる
曇り空の向こうに,くもりぞらのむこうに
曇り空晴らして,くもりぞらはらして
クモリ のち ハレ,くもりのちはれ
曇日,くもりび
雲を掴むような話,くもをつかむようなはなし
雲・空・風、キミ。,くも・そら・かぜ、きみ。
くやしいのう朝日新聞,くやしいのうあさひしんぶん
悔やんでも君は還らない,くやんでもきみはかえらない
クライアンドダウン,くらいあんどだうん
暗い現実を消し去って,くらいげんじつをけしさって
クライスとリング,くらいすとりんぐ
暗い森の乙女,くらいもりのおとめ
クラウチング・スタート,くらうちんぐ・すたーと
クラウディ・フライト,くらうでぃ・ふらいと
クラウド・アンド・ノイズ,くらうどあんどのいず
クラウドナイン,くらうどないん
クラウン,くらうん
クラヴィウス,くらう゛ぃうす
くらくらルリルラ,くらくらるりるら
海月,くらげ
水母なす,くらげなす
クラスで一番人気のあの子は校舎の裏で人を殺した,くらすでいちばんにんきのあのこはこうしゃのうらでひとをころした
クラスペディア,くらすぺでぃあ
クラスメイト,くらすめいと
クラスルームの傍観者,くらするーむのぼうかんしゃ
クラップクラッパ,くらっぷくらっぱ
クラブへ行こう！,くらぶへいこう
クラヤミ,くらやみ
暗闇楽団,くらやみがくだん
暗闇のパレード,くらやみのぱれーど
クラリティ,くらりてぃ
クランベリーアイ,くらんべりーあい
クランベリードーナッツ,くらんべりーどーなっつ
クリア,くりあ
クリエイター症候群,くりえいたーしょうこうぐん
クリカエシのムダバナシ,くりかえしのむだばなし
繰り返し一粒,くりかえしひとつぶ
繰り返す毎日,くりかえすまいにち
クリサンセマム,くりさんせまむ
クリスタル・ティア,くりすたる・てぃあ
クリスマスイヴの夜に-幸せサイド-,くりすますいぶのよるに　しあわせさいど
クリスマス×クリスマス,くりすますくりすます
クリスマスケーキ,くりすますけーき
クリスマス・ストーリー,くりすますすとーりー
くりすますだよー,くりすますだよー
クリスマス中止のお知らせです。,くりすますちゅうしのおしらせです
クリスマスツリーを切り倒せ！,くりすますつりーをきりたおせ！
クリスマスでも気にしにゃい！,くりすますでもきにしにゃい
クリスマスはバイトだ！,くりすますはばいとだ！
㍆㌋㌉㌏㌉㌸㌾㌋㌞㌹㌅,くりすますひとりぽつち
クリスマスブルー,くりすますぶるー
クリトコ,くりとこ
クリぼっち撲滅委員会,くりぼっちぼくめついいんかい
クリヤスカイ機関,くりやすかいえんじん
くりやまぎとしこのへや,くりやまぎとしこのへや
クリーム市長,くりーむしちょう
狂う,くるう
クルクルククル,くるくるくくる
クルクルシーソーゲーム,くるくるしーそーげーむ
くるくると空の青,くるくるとそらのあお
くるくるぱぁ,くるくるぱぁ
くるくるまるく,くるくるまるく
くるくるりんご,くるくるりんご
くるくるロックンロール,くるくるろっくんろーる
クルシミマス,くるしみます
狂った金剛石,くるったこんごうせき
狂っている最中,くるっているさいちゅう
くるぶしとかかとの間のツボ,くるぶしとかかとのあいだのつぼ
くるみ☆ぽんちお,くるみぽんちお
狂忘,くるわす
クルークラブ,くるーくらぶ
クレイジーグレネードクラッシャーボンバー,くれいじーぐれねーどくらっしゃーぼんばー
クレイジー・ビート,くれいじーびーと
クレイジーピッグ,くれいじーぴっぐ
クレイズィーダンスワールド,くれいずぃーだんすわーるど
暮々の祈りの唄,くれぐれのいのりのうた
クレッシェンドスマイル,くれっしぇんどすまいる
紅空,くれないそら
紅蝶,くれないちょう
紅の誓い,くれないのちかい
紅の夜は溝川に沈む,くれないのよるはどぶがわにしずむ
クレユクヨ,くれゆくよ
クレヨン社,くれよんしゃ
クロアゲハ,くろあげは
黒い糸,くろいいと
黒い絵の具,くろいえのぐ
くろいきょじん,くろいきょじん
黒イ空ヲ眺メテ,くろいそらをながめて
黒いつばさ,くろいつばさ
黒い翼は好きですか？,くろいつばさはすきですか？
黒い猫と白い花/CD,くろいねことしろいはな
黒い矢の先に,くろいやのさきに
クロイロメイキュウロンド,くろいろめいきゅうろんど
クロウガール,くろうがーる
黒瓜丿美,くろうりえいみ
クロエ/フライングジラフ,くろえ
黒髪イヤホン,くろかみいやほん
黒髪レジェンド,くろがみれじぇんど
黒き母の聖櫃 (RUINS),くろきははのせいひつ
クロコダイルティアーズ,くろこだいるてぃあーず
黒珈琲,くろこーひー
クロジ,くろじ
黒須朔夜,くろすさくや
クロスシザーズ,くろすしざーず
クロスシンセシスの許可が欲しかったよ,くろすしんせしすのきょかがほしかったよ
クロスフェード,くろすふぇーど
クロスリーパー,くろすりーぱー
クロツバキシティサイクル,くろつばきしてぃさいくる
クロニクル/兄弟P,くろにくる
黒猫/赤髪,くろねこ
黒猫アリスと月光アリス,くろねこありすとげっこうありす
黒猫しょうたいむ,くろねこしょうたいむ
クロネコ知ラズ＠詠ミ人知ラズ,くろねこしらずよみびとしらず
黒猫と宇宙地図,くろねことうちゅうちず
黒猫の情熱,くろねこのじょうねつ
黒猫のジルバ,くろねこのじるば
黒猫のワルツ,くろねこのわるつ
黒猫モンタージュ,くろねこもんたーじゅ
黒のエーテル,くろのえーてる
黒の涙,くろのなみだ
クロノフォビア,くろのふぉびあ
黒の星屑,くろのほしくず
黒羽花火,くろはねはなび
クロ・バイオレット,くろばいおれっと
黒縁眼鏡ガール,くろぶちめがねがーる
クロマイシロップ,くろまいしろっぷ
クロマユ,くろまゆ
クロユリのイノリ,くろゆりのいのり
クロライドに没む,くろらいどにしずむ
黒歴史メイカー,くろれきしめいかー
クロワッサン,くろわっさん
クロワッサンシカゴ,くろわっさんしかご
クロワール・エトワール,くろわーるえとわーる
クローカー,くろーかー
クローディア,くろーでぃあ
クローリィの憂鬱,くろーりぃのゆううつ
クローンアルケー,くろーんあるけー
クワイエットプログラム,くわいえっとぷろぐらむ
訓戒の唄,くんかいのうた
クンツォ!!,くんつぉ
薫風フェアリー,くんぷうふぇありー
クーヘンバーム∞,くーへんばーむむげんだい
クーラーガール,くーらーがーる
クーロンズ・ホテル,くーろんずほてる
偶像、縋るは有象無象,ぐうぞう、すがるはうぞうむぞう
偶像すぅはい,ぐうぞうすぅはい
偶像無線,ぐうぞうらじお
寓話～少年と少女が求めたもの～,ぐうわ
ググレカス,ぐぐれかす
愚足武者,ぐそくむしゃ
グッドシーユー・デイジー,ぐっどしーゆーでいじー
グッドナイト/キャプテンミライ,ぐっどないと
グッドバイバイ,ぐっどばいばい
グッドバイワールド,ぐっどばいわーるど
グッドラッカーズ,ぐっどらっかーず
グッド・モーニングサービス,ぐっど・もーにんぐさーびす
グッナイ・トゥナイ,ぐっないとぅない
グッバイ宣言,ぐっばいせんげん
グッバイセンチメント,ぐっばいせんちめんと
グッバイトデー,ぐっばいとでー
グッバイ・ラストブルー,ぐっばいらすとぶるー
グッバイ・ジャーニー,ぐっばい・じゃーにー
ぐみりす,ぐみりす
グライス,ぐらいす
グライダー,ぐらいだー
グライド,ぐらいど
グラウンド・ゼロ,ぐらうんどぜろ
グラスアート,ぐらすあーと
グラスに欲望,ぐらすによくぼう
グラスモンド,ぐらすもんど
グラスレッドの肖像,ぐらすれっどのしょうぞう
グランドキャバレー,ぐらんどきゃばれー
グラーヴェ,ぐらーう゛ぇ
グラーミィ,ぐらーみぃ
グリィディハロウィンキャンディナイツ,ぐりぃでぃはろうぃんきゃんでぃないつ
グリグリメガネと月光蟲,ぐりぐりめがねとげっこうちゅう
グリモワール・メサイア,ぐりもわーるめさいあ
グリーの退会ページに進めない,ぐりーのたいかいぺーじにすすめない
グリーの退会ページをスルー,ぐりーのたいかいぺーじをするー
グリーンアイズ,ぐりーんあいず
グリーングリーン～ミドリムシ～,ぐりーんぐりーんみどりむし
グリーンストレート,ぐりーんすとれーと
グリーンマイル,ぐりーんまいる
グリーンライツ・セレナーデ,ぐりーんらいつせれなーで
グルグル体操,ぐるぐるたいそう
ぐるグるマァチ,ぐるぐるまぁち
グルメガネの普遍論,ぐるめがねのふへんろん
グルーミーオーケストラ,ぐるーみーおーけすとら
グルームリミット,ぐるーむりみっと
グレア/紫嶌 開世,ぐれあ
グレイア,ぐれいあ
グレイヴ・ダンス・ナイト,ぐれいう゛・だんす・ないと
グレイテスト・アイドル,ぐれいてすとあいどる
紅蓮,ぐれん
紅蓮ノ姫,ぐれんのひめ
グレーゾーンにて。,ぐれーぞーんにて。
グレートぽぽぽポーン,ぐれーとぽぽぽぽーん
グロリア/楽園市街,ぐろりあ
グローリーフェノメノン,ぐろーりーふぇのめのん
グローリーフェノメノン/CD,ぐろーりーふぇのめのん
群青,ぐんじょう
群青、照らす月,ぐんじょう、てらすつき
群青が鳴り止む前に,ぐんじょうがなりやむまえに
群青ノスタルジー,ぐんじょうのすたるじー
群青の空、茜色の手,ぐんじょうのそら、あかねいろのて
群青の街,ぐんじょうのまち
群青の夜と彼女の抜け殻,ぐんじょうのよるとかのじょのぬけがら
群青パレード,ぐんじょうぱれーど
グーパースター,ぐーぱーすたー
景P,けい
ケイエヌ,けいえぬ
ケイオス・オーダー,けいおす・おーだー
蛍光塗料,けいこうとりょう
警告,けいこく
ケイコク,けいこく
形而上学心象論,けいじじょうがくしんしょうろん
形想二元論,けいそうにげんろん
継続時間,けいぞくじかん
携帯彼氏,けいたいかれし
携帯がミートソースまみれ,けいたいがみーとそーすまみれ
携帯少女,けいたいしょうじょ
警報！ぷるるん指令☆覚醒版,けいほうぷるるんしれいかくせいばん
傾慕の花,けいぼのはな
け・け・ぱ,けけぱ
けしごむ,けしごむ
化生戯画,けしょうぎが
消せない名前,けせないなまえ
ケセラセラ/モネルタP,けせらせら
ケ・セラ・セラ,けせらせら
ケダルイ,けだるい
ケダルゲ,けだるげ
気だるさフォーワード,けだるさふぉーわーど
結婚撲滅行進曲,けっこんぼくめつこうしんきょく
決戦スピリット,けっせんすぴりっと
けっせんとうじつ！,けっせんとうじつ
欠点スプリクト,けってんすぷりくと
潔癖症の文学愛好家,けっぺきしょうのぶんがくあいこうか
決,けつ
決別,けつべつ
決別の弓 焔の矢,けつべつのゆみ ほむらのや
ケティ,けてぃ
ケビョウニンゲン,けびょうにんげん
ケフィー,けふぃー
ケプストラム,けぷすとらむ
ケミカルエモーション,けみかるえもーしょん
煙に巻けッ！,けむにまけっ！
煙の殺意,けむりのさつい
ケモサビ,けもさび
ケモノガミトボク,けものがみとぼく
ケモノラ,けものら
家来（Full Version),けらい
家来,けらい
献花,けんか
剣ヶ峰へ,けんがみねへ
献血のうた/nightfall,けんけつのうた
乾坤一擲クリーパー,けんこんいってきくりーぱー
献身的人間は優しい人になれない,けんしんてきにんげんはやさしいひとになれない
献身的非幸福論者,けんしんてきひこうふくろんしゃ
健全なる野菜うた,けんぜんなるやさいうた
倦怠と堕落,けんたいとだらく
健忘症,けんぼうしょう
憲法クイズ王に俺はなる!!!,けんぽうくいずおうにおれはなる!!!
ケーキコレクション,けーきこれくしょん
